"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2,U8,U7";"TFDU4101-TR3";3;"TFDU4101-TR3";;;
2;"C17,C18,C4";"C_0201";3;"0.1u";;;
3;"R19,R21,R20,R22,R5";"R_0201";5;"47";;;
4;"C20,C19,C5";"C_0201";3;"4.7u";;;
5;"R15,R11,R12,R13,R14,R16,R17";"R_0201";7;"330";;;
6;"D5,D3,D4,D6,D7";"LED-L1T2_LUMILEDS";5;"LED";;;
7;"C1,C3,C10";"C_0201";3;"100n";;;
8;"C2";"C_0201";1;"10u";;;
9;"C6,C7,C9,C11,C12,C16";"C_0201";6;"1u";;;
10;"C8";"C_0201";1;"10n";;;
11;"C13";"C_0201";1;"1n";;;
12;"C14,C15";"C_0201";2;"4.7p";;;
13;"D1";"D_0603";1;"D_TVS";;;
14;"D2";"D_0603";1;"D_Schottky";;;
15;"Header1";"DIP-4_W7.62mm";1;"Header";;;
16;"L1";"0603-NO";1;"Ferrite_Bead";;;
17;"R1,R2,R3,R4,R18";"R_0201";5;"1K";;;
18;"R6";"R_0201";1;"56";;;
19;"R7,R8";"R_0201";2;"R";;;
20;"R9,R10,R23,R24";"R_0201";4;"10K";;;
21;"SC16IS1";"SOP65P640X110-28N";1;"SC16IS750";;;
22;"SW1,SW2";"Nidec_Copal_SH-7010A";2;"SW_Push";;;
23;"U1";"PQFN50P300X300X100-16N";1;"LIS3DH";;;
24;"U3";"NodeMCU_Amica_R2";1;"NodeMCU_Amica_R2";;;
25;"U4";"SOT95P280X145-5N";1;"LD3985M33R";;;
26;"U5";"SOT95P280X125-5N";1;"BU4210G-TR";;;
27;"U6";"QFP50P1200X1200X160-64N";1;"STM32F051R8Tx";;;
28;"USB1";"HRS_ZX62D-B-5P8";1;"USB_MINI";;;
